cliente_id,idade,genero,renda,score_credito,compra_semanal,cidade,estado,data_cadastro
CLI_00000001,57,F,10596.8,48.29,328.88,Vilhena,MT,2024-04-02
CLI_00000002,27,M,11152.5,240.66,239.88,Vilhena,GO,2020-10-04
CLI_00000003,44,X,16132.91,947.71,166.56,Campo Grande,MT,2024-03-10
CLI_00000004,69,F,14068.32,570.91,229.77,Vilhena,MS,2020-10-19
CLI_00000005,40,M,3518.85,712.11,108.43,Goiania,RO,2023-06-15
CLI_00000006,74,M,8334.45,794.38,218.0,Rondonopolis,MS,2020-10-10
CLI_00000007,79,M,18560.8,287.94,374.61,Goiania,MS,2022-03-16
CLI_00000008,69,F,24096.05,77.62,290.66,Vilhena,RO,2022-06-23
CLI_00000009,60,X,13020.86,796.89,360.39,Sao Paulo,GO,2020-01-24
CLI_00000010,55,X,14955.12,681.24,327.85,Goiania,SP,2023-11-12
CLI_00000011,18,M,9660.05,610.92,194.83,Sao Paulo,MS,2021-07-13
CLI_00000012,79,F,5159.52,401.64,304.17,Sao Paulo,MS,2023-09-09
CLI_00000013,69,M,17448.81,380.44,307.53,Campo Grande,MS,2021-01-16
CLI_00000014,39,M,7909.95,145.68,361.98,Vilhena,SP,2024-10-11
CLI_00000015,32,X,21649.01,950.22,161.61,Goiania,RO,2023-07-13
CLI_00000016,66,F,12660.24,400.44,96.46,Campo Grande,MT,2021-08-06
CLI_00000017,30,M,15497.31,102.38,130.09,Sao Paulo,RO,2020-02-28
CLI_00000018,42,X,10154.26,634.41,224.2,Sao Paulo,RO,2022-08-04
CLI_00000019,30,M,24835.84,465.99,236.76,Cuiaba,SP,2022-08-27
CLI_00000020,36,X,1749.68,950.99,306.45,Vilhena,SP,2021-12-18
CLI_00000021,19,X,8294.53,642.92,543.75,Vilhena,SP,2021-06-25
CLI_00000022,44,X,14089.3,502.7,456.87,Rondonopolis,MS,2024-04-26
CLI_00000023,46,M,18808.98,226.74,160.25,Cuiaba,MT,2022-08-09
CLI_00000024,40,X,15602.31,344.28,284.45,Rondonopolis,SP,2022-02-08
CLI_00000025,29,F,12387.9,337.74,0,Vilhena,MT,2023-11-12
CLI_00000026,26,X,4053.71,388.54,347.38,Rondonopolis,MS,2023-03-14
CLI_00000027,58,F,20259.6,971.66,179.44,Cuiaba,MS,2021-03-01
CLI_00000028,35,X,22735.48,806.5,392.5,Campo Grande,RO,2024-08-22
CLI_00000029,60,F,14258.11,130.98,697.34,Rondonopolis,MT,2024-12-05
CLI_00000030,71,F,20862.49,211.04,335.65,Sao Paulo,MS,2022-09-08
CLI_00000031,57,M,14155.6,834.19,528.37,Goiania,RO,2024-07-27
CLI_00000032,80,F,13857.43,523.51,391.92,Cuiaba,GO,2021-10-01
CLI_00000033,35,F,4569.1,619.1,338.96,Rondonopolis,RO,2024-09-16
CLI_00000034,29,X,2552.38,191.31,336.75,Cuiaba,MT,2024-08-18
CLI_00000035,19,F,11749.31,612.53,120.39,Rondonopolis,SP,2023-09-18
CLI_00000036,77,X,23607.73,699.22,293.73,Sao Paulo,RO,2021-08-05
CLI_00000037,69,F,10538.27,315.98,224.59,Campo Grande,SP,2020-03-23
CLI_00000038,62,F,7223.97,137.25,160.44,Goiania,MS,2020-07-16
CLI_00000039,36,X,21012.18,161.47,135.86,Sao Paulo,GO,2021-06-11
